TrackID,AssignedTruthID,Surviving,TotalLength,UnreportedStatus,MeanTimeBetweenReports,MaxTimeBetweenReports,DivergenceStatus
1,NaN,0,100,1,0.260000000000014,0.260000000000041,0
2,2,1,190,0,0.259999999999993,0.260000000000041,0
4,1,1,110,0,0.259999999999982,0.260000000000041,1
