TruthID,AssociatedTrackID,TotalLength,UnreportedStatus,MeanTimeBetweenReports,MaxTimeBetweenReports,BreakCount,EstablishmentLength
1,2,192,0,0.259999999999993,0.260000000000041,1,2
2,1,192,0,0.259999999999993,0.260000000000041,1,2
